Designator,Mid X,Mid Y,Rotation,Layer
C1,129.9625,-66.0,0.0,top
C2,129.9625,-86.0,0.0,top
C3,129.9625,-94.0,0.0,top
C4,129.9625,-116.0,0.0,top
C5,129.9625,-120.0,0.0,top
C6,129.9625,-124.0,0.0,top
C7,129.9625,-128.0,0.0,top
J3,36.0,-53.5,270.0,top
J4,36.0,-80.5,270.0,top
J5,129.0,-76.73,180.0,top
J6,129.0,-104.27,180.0,top
J7,36.0,-109.75,270.0,top
