Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0805,7,2.2uF,
J1,SolderWire-2.5sqmm_1x05_P8.8mm_D2.4mm_OD4.4mm,1,Alim 5 V,
J2,SolderWire-2.5sqmm_1x05_P8.8mm_D2.4mm_OD4.4mm,1,Alim 12 V,
J3,"PhoenixContact_GMSTBVA_2,5_3-G_1x03_P7.50mm_Vertical",1,AC,
J4,"PhoenixContact_GMSTBVA_2,5_3-G_1x03_P7.50mm_Vertical",1,DC-2,
J5,PinHeader_1x04_P2.54mm_Vertical,1,B1212S,
J6,PinHeader_1x04_P2.54mm_Vertical,1,B1205S,
J7,"PhoenixContact_GMSTBVA_2,5_4-G_1x04_P7.50mm_Vertical",1,DC-1,
