FLO.ST — Table des vecteurs système Smaky 6
============================================================
343 entrées de 8 octets

  N°     Adr  Nom       Octets raw
  96  0x45BF  FLOFF     45 BF 20 C6 C6 4F CC 46
  97  0x00D7  FLO       00 D7 20 A0 A0 4F CC 46
  98  0x000C  FF        00 0C 20 A0 A0 20 C6 46
  99  0x000E  FCNT      00 0E 20 A0 D4 4E C3 46
 100  0x00BD  FA        00 BD 20 A0 A0 20 C1 46
 101  0x0006  ESC6      00 06 20 A0 B6 43 D3 45
 102  0x001B  ESC       00 1B 20 A0 A0 43 D3 45
 103  0x0026  ERZRE     00 26 20 C5 D2 5A D2 45
 104  0x001F  ERZDI     00 1F 20 C9 C4 5A D2 45
 105  0x0001  ERWPR     00 01 20 D2 D0 57 D2 45
 106  0x0021  ERUND     00 21 20 C4 CE 55 D2 45
 107  0x004C  ERSYT     00 4C 20 D4 D9 53 D2 45
 108  0x0023  ERSQR     00 23 20 D2 D1 53 D2 45
 109  0x0016  ERSPC     00 16 20 C3 D0 53 D2 45
 110  0x000F  ERSCP     00 0F 20 D0 C3 53 D2 45
 111  0x0002  ERRPR     00 02 20 D2 D0 52 D2 45
 112  0x0025  ERRLN     00 25 20 CE CC 52 D2 45
 113  0x000C  ERRES     00 0C 20 D3 C5 52 D2 45
 114  0x0020  EROVE     00 20 20 C5 D6 4F D2 45
 115  0x0013  EROFI     00 13 20 C9 C6 4F D2 45
 116  0x001C  ERNSA     00 1C 20 C1 D3 4E D2 45
 117  0x0027  ERNRF     00 27 20 C6 D2 4E D2 45
 118  0x004D  ERMPI     00 4D 20 C9 D0 4D D2 45
 119  0x0024  ERLOG     00 24 20 C7 CF 4C D2 45
 120  0x0005  ERLLI     00 05 20 C9 CC 4C D2 45
 121  0x0029  ERISP     00 29 20 D0 D3 49 D2 45
 122  0x0022  ERILN     00 22 20 CE CC 49 D2 45
 123  0x0048  ERILL     00 48 20 CC CC 49 D2 45
 124  0x0008  ERFUW     00 08 20 D7 D5 46 D2 45
 125  0x0010  ERFUR     00 10 20 D2 D5 46 D2 45
 126  0x0007  ERFUL     00 07 20 CC D5 46 D2 45
 127  0x0012  ERFNO     00 12 20 CF CE 46 D2 45
 128  0x000B  ERFNM     00 0B 20 CD CE 46 D2 45
 129  0x0006  EREOF     00 06 20 C6 CF 45 D2 45
 130  0x0019  ERDWP     00 19 20 D0 D7 44 D2 45
 131  0x001A  ERDWO     00 1A 20 CF D7 44 D2 45
 132  0x0018  ERDTO     00 18 20 CF D4 44 D2 45
